,repo_name,star,fork,watch,issue,tags,description,contributers,license,repo_url,most_used_lang
1192,CSV-GitHub-import-export,0,0,0,0,[],Import/export GitHub issues from/to CSV files,1,,https://github.com/cdcarter/CSV-GitHub-import-export.git,Ruby
1193,Cumulus,0,0,0,0,[],The next version of the Salesforce.com Nonprofit Starter Pack,21,bsd-3-clause,https://github.com/cdcarter/Cumulus.git,Apex
1194,CumulusCI,0,0,0,0,[],A reusable set of build and automation scripts to facilitate a best practices based development and release process for managed package development on the Salesforce1 Platform,15,bsd-3-clause,https://github.com/cdcarter/CumulusCI.git,Python
1195,CumulusCI-OAuth-Tool,0,0,0,0,[],A basic Flask web app to make it easy to get a refresh token to a Salesforce org from your own Connected App,2,,https://github.com/cdcarter/CumulusCI-OAuth-Tool.git,Python
1196,CumulusCI-Test,0,0,0,0,[],Dummy project used to test CumulusCI - CumulusCI will run this project through the whole CI flow to verify everything works,3,,https://github.com/cdcarter/CumulusCI-Test.git,Apex
1197,declarative-autonaming,1,0,1,0,[],DLRS gone single object,1,other,https://github.com/cdcarter/declarative-autonaming.git,Apex
1198,declarative-lookup-rollup-summaries,0,0,0,0,[],Declarative Rollup Summaries for Lookups,9,bsd-3-clause,https://github.com/cdcarter/declarative-lookup-rollup-summaries.git,Apex
1199,design-system,0,0,0,0,[],Salesforce Lightning Design System,10,,https://github.com/cdcarter/design-system.git,JavaScript
1200,design-system-starter-kit,0,0,0,0,[],Rapid prototyping environment using the Salesforce Lightning Design System,8,bsd-3-clause,https://github.com/cdcarter/design-system-starter-kit.git,HTML
1201,dino,0,0,0,0,[],Dino is a ruby gem that helps you bootstrap prototyping with an Arduino,18,mit,https://github.com/cdcarter/dino.git,Ruby
1202,dj-request-correlation,0,0,0,0,[],x-request-id helpers and more,1,mit,https://github.com/cdcarter/dj-request-correlation.git,Python
1203,django-admin2,0,0,0,0,[],"Extendable, adaptable rewrite of django.contrib.admin",30,other,https://github.com/cdcarter/django-admin2.git,Python
1204,django-allauth,0,0,0,0,[],"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication.",30,mit,https://github.com/cdcarter/django-allauth.git,Python
1205,django-log-request-id,0,0,0,0,[],Django middleware and log filter to attach a unique ID to every log message generated as part of a request,7,bsd-2-clause,https://github.com/cdcarter/django-log-request-id.git,Python
1206,django-object-actions,0,0,0,0,[],A Django app for adding object tools for models in the admin,12,apache-2.0,https://github.com/cdcarter/django-object-actions.git,Python
1207,django-request-logging,0,0,0,0,[],Django middleware that logs http request body.,17,mit,https://github.com/cdcarter/django-request-logging.git,Python
1208,django-rest-framework,0,0,0,0,[],Web APIs for Django.,30,other,https://github.com/cdcarter/django-rest-framework.git,Python
1209,2021-usa-roadtrip,0,0,0,0,[],,1,,https://github.com/bs/2021-usa-roadtrip.git,
1210,AlarmServer,0,0,0,0,[],Envisalink 2DS/3 Alarm Server (Proxy & HTTP/JSON),5,,https://github.com/bs/AlarmServer.git,JavaScript
1211,alfred-github-workflow,0,0,0,0,[],GitHub Workflow for Alfred 3/4,11,mit,https://github.com/bs/alfred-github-workflow.git,
1212,alfred-pinboard-rs,0,0,0,0,[],Alfred Workflow for Pinboard (Rust),4,other,https://github.com/bs/alfred-pinboard-rs.git,
1213,awesome-go,0,0,0,0,[],"A curated list of awesome Go frameworks, libraries and software",30,mit,https://github.com/bs/awesome-go.git,
1214,browser-laptop,1,1,1,0,[],"Brave browser for Desktop and Laptop computers running Windows, OSX, and Linux",30,mpl-2.0,https://github.com/bs/browser-laptop.git,JavaScript
1215,cocktail-party-problem,0,1,0,0,[],,2,,https://github.com/bs/cocktail-party-problem.git,Jupyter Notebook
1216,dendron,0,0,0,0,[],The personal knowledge management (PKM) tool that grows as you do!,9,agpl-3.0,https://github.com/bs/dendron.git,TypeScript
1217,dendron-template,0,0,0,0,[],Getting started with Dendron,14,mit,https://github.com/bs/dendron-template.git,JavaScript
1218,dotfiles,0,0,0,0,[],.dotfiles :),1,,https://github.com/bs/dotfiles.git,CSS
1219,forkmysite,0,0,0,0,[],Templates to forkmysite.com,2,,https://github.com/bs/forkmysite.git,HTML
1220,from_zero_to_DSP,0,0,0,0,[],,3,,https://github.com/bs/from_zero_to_DSP.git,
1221,Glass-Dome,0,0,0,0,[],An Alfred workflow to fight link rot in Markdown notes.,1,cc0-1.0,https://github.com/bs/Glass-Dome.git,
1222,hello-github-actions,0,0,0,1,[],,2,mit,https://github.com/bs/hello-github-actions.git,
1223,homebridge-nest,0,0,0,0,[],Nest plugin for HomeBridge,12,,https://github.com/bs/homebridge-nest.git,JavaScript
1224,jekyll-compose,0,0,0,0,[],:memo: Streamline your writing in Jekyll with these commands.,22,mit,https://github.com/bs/jekyll-compose.git,
1225,jschesstest,0,0,0,1,[],,0,,https://github.com/bs/jschesstest.git,JavaScript
